min_support,frequent_itemsets,rules_after_filter,rules_num_clusters,rules_largest_cluster_size,support_mean,support_median,confidence_mean,confidence_median,lift_mean,lift_median
0.015,755,516,20,61,0.019659342309080403,0.017840297430775205,0.49914879027506814,0.4735979334865539,10.265240698737136,8.901524266358585
0.02,400,184,13,31,0.024834854505492387,0.023278397425226124,0.4947559009195083,0.4769012082444919,8.969445927696544,7.603057828382689
0.025,230,75,10,17,0.02922220372528346,0.0280228622163032,0.5358894366482195,0.5071982281284607,9.126168009309426,7.220842934022761
0.03,145,21,5,5,0.034409590926987296,0.031962710171466624,0.5872021536939835,0.6053763440860215,10.053049731386876,7.129374614382669
0.04,66,2,1,2,0.04356029077187725,0.04356029077187725,0.5414963893403607,0.5414963893403607,6.307890389335902,6.307890389335902
0.05,34,0,0,0,,,,,,
